id,firstName,lastName,phoneNumber,email,password,gender,houseNameWithNumberBlock,addressStreet,location,createdAt,updatedAt
1,Anirudh,Madhavan,2178412792,ar80@illinois.edu,cguild,male,"101, 809",West Stoughton,POINT(40.7128 -74.006),2023-10-31 20:20:15,2023-10-31 20:20:15
2,Janet,Reynolds,8138453714,janetreynolds964@gmail.com,2r5fr5bg,Male,"23, 633",Cedar Dr,POINT(101.3680243147498 77.18230478790767),2023-10-31 20:20:15,2023-10-31 20:20:15
3,Kevin,Graham,8351821610,kevingraham164@gmail.com,x0ak1494,Non-Binary,"75, 853",Elm St,POINT(172.4679025672291 -32.37913911294525),2023-10-31 20:20:15,2023-10-31 20:20:15
4,Daniel,Hughes,9651341792,danielhughes609@gmail.com,emdp4i7x,Non-Binary,"84, 571",Oak St,POINT(-126.1717029203195 80.56123994673263),2023-10-31 20:20:15,2023-10-31 20:20:15
5,Emily,Hunt,9860301787,emilyhunt369@gmail.com,3fazddiu,Female,"68, 138",Maple Ave,POINT(54.06685569236987 -14.06302531968066),2023-10-31 20:20:15,2023-10-31 20:20:15
6,Andrea,Pena,2714843159,andreapena964@gmail.com,zew87pad,Male,"86, 158",Oak St,POINT(-116.6050708079461 -18.0194798074623),2023-10-31 20:20:15,2023-10-31 20:20:15
7,Ruth,Maynard,7398621828,ruthmaynard643@gmail.com,jy3fudzf,Non-Binary,"38, 213",Maple Ave,POINT(173.1123317670528 8.912429630622867),2023-10-31 20:20:15,2023-10-31 20:20:15
8,April,Norman,2545148172,aprilnorman925@gmail.com,177hvpek,Female,"61, 965",Cedar Dr,POINT(121.0441658938995 52.23250792812786),2023-10-31 20:20:15,2023-10-31 20:20:15
9,James,Reed,2147218788,jamesreed652@gmail.com,41bhxkgi,Male,"28, 375",Cedar Dr,POINT(-97.09173632686229 -24.72792813415776),2023-10-31 20:20:15,2023-10-31 20:20:15
10,Amy,Key,6488128830,amykey745@gmail.com,mwra35ul,Male,"56, 642",Maple Ave,POINT(178.6118128671332 -11.03185228192949),2023-10-31 20:20:15,2023-10-31 20:20:15
11,Brandon,Cole,4698606300,brandoncole379@gmail.com,7ryjh7ye,Female,"66, 550",Main St,POINT(153.7341473189545 5.645986940903668),2023-10-31 20:20:15,2023-10-31 20:20:15
12,Lori,Garcia,4467403691,lorigarcia796@gmail.com,ovuo8vaw,Male,"82, 901",Cedar Dr,POINT(-128.7098942425208 54.60539034656165),2023-10-31 20:20:15,2023-10-31 20:20:15
13,John,Rodriguez,8543322666,johnrodriguez669@gmail.com,befn1flt,Male,"65, 790",Main St,POINT(121.8848606963242 -59.94426274576372),2023-10-31 20:20:15,2023-10-31 20:20:15
14,Anne,Orozco,5779974286,anneorozco124@gmail.com,anjmj8e3,Non-Binary,"80, 966",Main St,POINT(-164.5034186141739 -60.29691291322627),2023-10-31 20:20:15,2023-10-31 20:20:15
15,Patricia,Taylor,5188769517,patriciataylor912@gmail.com,ciud9qw0,Non-Binary,"42, 938",Cedar Dr,POINT(-129.866934352906 -51.43491463080962),2023-10-31 20:20:15,2023-10-31 20:20:15
16,Andrew,Sims,1371677496,andrewsims596@gmail.com,pj0aafnu,Non-Binary,"1, 276",Maple Ave,POINT(-75.87508358888633 59.83885386309768),2023-10-31 20:20:15,2023-10-31 20:20:15
17,Steven,Marquez,9820361464,stevenmarquez936@gmail.com,obyo2tw2,Female,"95, 503",Elm St,POINT(-154.4082238174371 15.23534779184661),2023-10-31 20:20:15,2023-10-31 20:20:15
18,Timothy,Wilson,7514795454,timothywilson991@gmail.com,icykhlaw,Female,"28, 943",Main St,POINT(-151.6377629568402 -26.47205764756129),2023-10-31 20:20:15,2023-10-31 20:20:15
19,Elizabeth,Campbell,8218393977,elizabethcampbell510@gmail.com,yxv3cc2n,Female,"39, 878",Oak St,POINT(15.2475440166732 89.09416357271613),2023-10-31 20:20:15,2023-10-31 20:20:15
